,,,,,,
,,,,,,
,Alimentación (Board),"$9,800","$5,850","$9,000",On-Campus: Plan ilimitado. Austero: Compra supermercado ($150/sem) + cocinando en casa. Moderado: Supermercado + Comidas fuera frecuentes.,
,Transporte,$450,"$1,080","$1,800",On-Campus: Uso de Shuttles gratuitos/Caminata. Off-Campus: Pase MBTA con descuento ($50/mes) + Bluebikes ($110/año) + Uber ocasional.,
,Libros y Suministros,"$1,250","$1,250","$1,250",Estimación estándar. Varía por carrera (más alto para arquitectura/arte en Lesley por materiales).,
,Gastos Personales,"$2,700","$2,700","$4,500","Ropa (invierno), lavandería, celular, higiene. Inflación en servicios personales considerada.",
,Ocio y Socialización,"$2,250","$2,000","$4,000","Presupuesto para eventos, cenas (Harvard Sq/Central Sq), viajes cortos. Basado en costo de vida local.",
,TOTAL ESTIMADO (9 Meses),"$109,400","$104,430","$126,500",,
LOS ANGELES,Categoría,Costo Mensual (USD),Notas / Detalles,,,
,Vivienda (Habitación Compartida),"$1,400 - $1,800","En Westwood/USC Village. Baja a $1,100-$1,300 en zonas como Palms/K-Town.",,,
,Vivienda (Habitación Privada),"$2,200 - $2,800",Estudios o habitación propia en apto compartido cerca del campus.,,,
,Alimentación (Supermercado),$450 - $600,Compras en Trader Joe's/Ralphs. Inflación en alimentos frescos.,,,
,Comer Fuera / Social,$300 - $500,Una cena promedio cuesta $25-$40. Café $6-8.,,,
,Transporte (Sin Auto),$50 - $100,Pase Metro U-Pass (subsidiado) + Ubers ocasionales.,,,
,Transporte (Con Auto),$600 - $900,"Seguro ($250+ para <25 años), Gasolina ($5.50/gal), Parking ($150-$300).",,,
,"Servicios (Luz, Agua, Internet)",$150 - $200,Internet de alta velocidad y A/C en meses de calor.,,,
,Celular,$50 - $80,Plan de datos ilimitados (necesario para mapas/apps).,,,
,Seguro Médico (Univ.),~$300,Promedio mensual si se compra el plan de la universidad (USHIP/UCSHIP).,,,
,Materiales / Libros,$100,Promedio prorrateado (varía por carrera).,,,
,TOTAL (Sin Auto),"$2,800 - $3,580",Costo de vida base realista.,,,
,TOTAL (Con Auto),"$3,350 - $4,380",Tener auto añade ~$600-$900 al mes.,,,
CHICAGO,Categoría de Gasto,UChicago (Privada Élite),DePaul (Privada Urbana),UIC (Pública - Residente)*,Loyola (Privada Católica),
,Matrícula y Cuotas,"$80,700","$50,500","$19,000","$59,500",
,Vivienda (12 meses),"$16,800 (Hyde Park)","$19,200 (Lincoln Park)","$14,400 (Little Italy)","$15,000 (Rogers Park)",
,Alimentación,"$5,800","$6,200","$5,400","$5,800",
,Transporte (Local),$400,$400,$400,$400,
,Seguro Médico,"$5,600 (U-SHIP)","$3,200 (Estimado)","$1,500 (CampusCare)","$4,000 (Estimado)",
,Libros y Personales,"$4,800","$4,800","$4,800","$4,800",
,TOTAL ANUAL,"$114,100","$84,300","$45,500","$89,500",
,,,,,,
,,,,,,
SAN FRANCISCO,Componente del Costo (Estimado 2027-2028),Rango de Costo Anual,Notas Críticas,,,
,Matrícula Base,"$67,350 - $69,525",Basado en aumentos del 3.5-4.0% anuales.10,,,
,Alojamiento en Campus,"$15,500 - $17,000",Obligatorio para primer año; varía según asignación.12,,,
,Plan de Alimentación,"$8,500 - $9,500",Costos prorrateados trimestralmente; inflación de alimentos impacta precios.12,,,
,Seguro Médico (Cardinal Care),"~$8,200",Obligatorio si no se tiene seguro comparable; costo creciente.12,,,
,Tarifas Estudiantiles y de Salud,"~$2,500","Incluye tarifa de salud del campus, tecnología, y actividades.12",,,
,Libros y Gastos Personales,"~$4,500 - $5,500",Estimación variable según estilo de vida.,,,
,COSTO TOTAL ANUAL (COA),"~$106,550 - $111,725",Sin ayuda financiera aplicada.,,,
DURHAM,Categoría de Gasto,Costo Mensual Est.,Costo Anual (12 Meses),Detalles y Supuestos 2027,,
,Vivienda (Alquiler),"$1,650","$19,800",Apartamento 1 hab. en zona segura (Ninth St/Erwin) o estudio de lujo. Incluye inflación de gentrificación.,,
,Servicios (Luz/Agua/Gas),$150,"$1,800",Tarifas de Duke Energy + Ciudad de Durham. Veranos calurosos = alto aire acondicionado.,,
,Internet y Móvil,$110,"$1,320",Plan de fibra óptica (Google Fiber/Spectrum) + Plan móvil 5G ilimitado.,,
,Seguro de Inquilino,$20,$240,Obligatorio en la mayoría de complejos.,,
,Alimentación (Supermercado),$450,"$5,400",Compra mixta (Harris Teeter + Aldi/Li Ming's). Inflación alimentaria moderada.,,
,Comidas Fuera / Café,$300,"$3,600","Socialización: 3 cafés/semana + 1-2 cenas fuera. Cultura ""Foodie"" de Durham.",,
,Transporte (Sin Coche),$100,"$1,200",Pases de bus regional (post-gratuidad 2026) + Uber/Lyft ocasional.,,
,Transporte (Con Coche),$550,"$6,600","Alternativa: Seguro ($250), Gasolina ($150), Mantenimiento ($150). No sumado al total base.",,
,Seguro Médico (SMIP),$375,"$4,500",Prima anual prorrateada. Costo crítico obligatorio.,,
,Material Académico,$100,"$1,200","Libros, licencias de software, impresión.",,
,Cuidado Personal / Ropa,$150,"$1,800","Higiene, lavandería, ropa básica, gimnasio externo si aplica.",,
,Entretenimiento,$150,"$1,800","Cine, eventos, suscripciones (Netflix/Spotify), viajes cortos.",,
,TOTAL MENSUAL (Vida),"$3,555",--,Costo operativo de vida.,,
,TOTAL ANUAL (Vida),--,"$42,660",Base para I-20 / Planificación.,,
PARIS,,,,,,
MADRID,Concepto de Gasto,Rango Económico (Getafe/Leganés),Rango Centro (Moncloa/Chamberí/Salamanca),Notas y Tendencias 2027,,
,Alojamiento (Habitación),400 € - 550 €,650 € - 950 €,"Los precios han subido. Habitaciones ""premium"" o estudios superan los 1.100 €.",,
,Alojamiento (Colegio Mayor),N/A,1.250 € - 1.700 €,"Incluye pensión completa, limpieza y vida social. Opción ""todo incluido"".",,
,Alimentación (Supermercado),200 € - 250 €,250 € - 300 €,Cesta básica. Comer fuera incrementa esto notablemente.,,
,Transporte (Abono Joven),10,10,Tarifa plana para toda la Comunidad de Madrid (<26 años). Un ahorro masivo.,,
,Suministros (Luz/Agua/Net),50 € - 70 €,60 € - 80 €,Generalmente compartidos entre compañeros de piso.,,
,Seguro Médico (Privado),45 € - 60 €,45 € - 60 €,Obligatorio para visado de estudiante (sin copagos).,,
,Ocio y Vida Social,150,250 € +,"Depende del estilo de vida (cenas, discotecas, viajes).",,
,Móvil / Datos,15,15,Tarifas competitivas con datos ilimitados.,,
,TOTAL MENSUAL ESTIMADO,~870 € - 1.100 €,~1.280 € - 1.800 €+,Vivir en el centro es un 40-50% más caro.,,
BARCELONA,Categoría de Gasto,"Rango ""Low Cost"" (Ahorrador)",Rango Estándar (Medio),"Rango ""Premium"" / Confort",Observaciones 2027,
,Alquiler (Habitación),480 € - 550 €,600 € - 850 €,900 € - 1.400 €,"Low cost solo en periferia (L'Hospitalet, Sta. Coloma). Centro (Eixample/Gràcia) supera los 650€.",
,"Suministros (Luz, Agua, Gas, Internet)",60 €,80 €,100 €,Incremento por costos energéticos. En residencias suele estar incluido.,
,Alimentación y Supermercado,220 €,320 €,450 €,Inflación en cesta básica. Incluye cocinar en casa vs. comer menú universitario (8-10€/día).,
,Transporte (T-Jove),16 €,16 €,60 €,"Precio T-Jove 2026 fijado en ~45,50€/trimestre. Premium incluye uso frecuente de Taxi/VTC.",
,Plan Móvil + Datos,15 €,20 €,30 €,Tarifas competitivas en España.,
,Ocio y Vida Social,120 €,250 €,500 €,"Entradas discotecas (15-25€), cenas, cine. Barcelona tiene una oferta de ocio cara.",
,Material Académico / Varios,40 €,60 €,100 €,"Fotocopias, material, imprevistos de farmacia/higiene.",
,TOTAL MENSUAL,~951 €,~1.346 €,~2.640 €,Se recomienda demostrar solvencia de al menos 1.200€/mes para visados.,
BERLIN,Categoría de Gasto,Presupuesto Austero (Supervivencia),Presupuesto Cómodo (Estándar),Notas Contextuales,,
,Alquiler (Caliente/Warm),500 € - 600 €,850 € - 1.100 €,Asume habitación en piso compartido (WG) en distritos periféricos vs. estudio céntrico.,,
,Seguro Médico (GKV),~135 €,~145 €,Obligatorio. Incluye seguro de dependencia.,,
,Alimentación,200 €,350 €,Basado en cocina propia vs. comer fuera ocasionalmente.,,
,Transporte,Incluido,Incluido,Cubierto por la cuota semestral.,,
,Internet y Móvil,30 €,50 €,Contratos de fibra óptica y datos móviles 5G.,,
,Rundfunkbeitrag,"9,18 € (Compartido)","18,94 € (Individual)",Tasa de radiodifusión obligatoria por vivienda.,,
,Materiales/Ocio,100 €,250 €,"Libros, gimnasio, vida social.",,
,TOTAL ESTIMADO,~974 € - 1.074 €,~1.600 € - 1.900 €,El presupuesto austero deja margen de error cero.,,
AMSTERDAM,Categoría de Gasto,Detalle,Rango Bajo (Austeridad),Rango Medio (Estándar),Rango Alto (Confort),Notas Críticas 2027
,Vivienda,Alquiler (inc. servicios),€750 (Hab. periférica/Social),€1.100 (Hab. mercado libre),€1.650 (Estudio privado),El rango bajo es casi imposible sin 3+ años en lista de espera.
,Alimentación,Supermercado y Hogar,300,400,550,Inflación acumulada en alimentos procesados y frescos.
,Seguro Médico,Prima Mensual,€70 (AON - No trabaja),€165 (Básico NL - Trabaja),€180 (NL + Dental),Obligatorio seguro NL si se trabaja (permite subsidio Zorgtoeslag).
,Transporte,Local y Tren,€40 (Bici + ocasional),€120 (Transporte regular),€250 (Commuter desde fuera),Tarifas NS +6.5% en 2026 + inflación 2027.
,Material Estudio,Libros / Software,50,70,100,Promedio mensualizado.
,Telefonía/Internet,Plan Móvil + Datos,20,30,45,Mercados competitivos mantienen precios estables.
,Ocio y Social,"Deporte, Salidas, Ropa",150,250,400,El costo de la hostelería en Ámsterdam es alto (cerveza ~€7-€8).
,Otros,"Seguros responsabilidad, tasas",10,20,30,Seguro de responsabilidad civil (AVP) es esencial.
,TOTAL MENSUAL,Sin Matrícula,1390,2155,3205,
,Matrícula Mensual,Prorrateo (No-UE),1500,1800,2500,Varía según programa (Humanidades vs Medicina/MBA).
,GRAN TOTAL,Costo Real Mensual,~€2.900,~€4.000,~€5.700,Nivel de solvencia requerido.
MILAN,,,,,,
DUBLIN ,Categoría de Gasto,Económico (Compartido),Medio (Estándar),Premium (Privado),Detalles y Fuentes de Datos,
,Alquiler,850,1100,€1.650+,Basado en habitación compartida vs. individual en piso compartido vs. estudio privado en PBSA.,
,Alimentación (Supermercado),250,350,500,Compras en Lidl/Aldi vs. tiendas premium. Inflación de alimentos estabilizada.,
,Transporte Público,45,65,100,"Tarifa TFI 90 min (€1,00/viaje para estudiantes). Topes diarios/semanales aplican.",
,Servicios (Luz/Gas/Basura),60,90,140,Depende de la eficiencia energética de la vivienda (BER) y la temporada.,
,Internet y Móvil,25,40,60,Planes SIM-only (€15-€20) + banda ancha compartida.,
,Materiales Académicos,30,50,80,"Libros, impresión, software. Varía según el curso.",
,Vida Social y Ocio,120,220,400,"Cine, gimnasio, salidas. El alcohol y cenar fuera es costoso en Dublín.",
,Salud y Bienestar,25,45,70,Visita GP (€60-€70). Seguro médico privado obligatorio para visa (~€160-€600/año).,
,Artículos Personales/Varios,50,100,180,"Ropa, higiene, lavandería.",
,TOTAL MENSUAL ESTIMADO,1455,2060,€3.180+,Costo base de supervivencia.,
VIENA,Categoría de Gasto,Detalle del Concepto,Perfil Austero (Min),Perfil Estándar (Avg),Perfil Confort (Max),
,Alojamiento,Renta (Warmmiete: incl. energía),380,580,880,
,Alimentación,Supermercado + Mensa ocasional,220,350,500,
,Transporte,Pase Anual Joven / Estándar (prorrateado),25,25,50,
,Seguro Médico,ÖGK Estudiante vs. Privado,78,78,160,
,Comunicación,Móvil + Internet (parte proporcional),15,25,45,
,Material Estudio,"Libros, impresión, software",20,40,70,
,Ocio y Cultura,"Cine, salidas, deporte",50,130,280,
,Higiene/Personal,"Farmacia, lavandería, ropa",30,60,120,
,Reserva Imprevistos,Fondo de emergencia mensual,30,60,100,
,TOTAL MENSUAL,Estimación de Gasto Real,848,1348,2205,
LISBOA ,Categoria de Despesa,"Orçamento Económico (Quarto Partilhado, Cantina)","Orçamento Moderado (Quarto Privado/Residência, Cozinha Própria)","Orçamento Conforto (Estúdio, Jantar Fora Frequentemente)",Notas e Tendências 2027,
,Habitação (Renda),€450 - €600,€750 - €950,€1.000 - €1.400,Alojamento consome ~50-60% do orçamento. Residências sobem ~4%/ano. ,
,Alimentação (Supermercado),€180 - €220,€250 - €300,€350 - €450,"Inflação alimentar estabilizada, mas preços de carne/peixe elevados. ",
,Refeições Fora / Cantina,€60 (Cantina Diária),€100 (1x Jantar fora/sem),€250 (3x Jantares fora/sem),"Cantina social (~€3,00) é vital para poupança. Restaurantes inflacionaram preços. ",
,Transportes,€0 (Sub-23),€0 - €40,€40 + €50 (Uber/Bolt),Passe Navegante Gratuito para <23 anos. TVDE (Uber) ~€7/viagem. ,
,Utilidades (Luz/Água/Net),Incluído na Renda,€40 - €80,€80 - €120,Frequentemente incluído em residências PBSA. Gás e eletricidade voláteis. ,
,Saúde e Seguros,€15 (PB4/Público),€25 - €40 (Seguro Privado),€50 - €80 (Seguro Premium),Seguro privado recomendado para evitar filas no SNS. Obrigatório para Visto D4/D5. ,
,Telemóvel e Dados,15,20,35,Pacotes 5G com dados ilimitados para apps sociais são padrão. ,
,Material Escolar,20,40,60,Livros técnicos e software. Variável conforme o curso (ex: Arquitetura > Gestão). ,
,"Lazer, Ginásio e Cultura",30,60,120,Ginásios Low-cost ~€30. Cinema ~€8. Subscrições digitais. ,
,TOTAL MENSAL ESTIMADO,€770 - €1.145,€1.285 - €1.690,€2.005 - €2.715,Prova de Fundos Recomendada: €1.100+,
ZURICH ,Categoría de Gasto,Perfil Austero (CHF),Perfil Moderado (CHF),Perfil Confort (CHF),Detalles y Contexto Operativo,
,Alojamiento (Alquiler),600 - 900,"950 - 1,400","1,600 - 2,500",Austero: Habitación WOKO (difícil acceso). Moderado: WG (piso compartido) en Oerlikon/Glattbrugg. Confort: Estudio privado en Kreis 6/Fluntern.,
,Servicios (Luz/Internet),Incluido,60,100,"En WOKO/WG suele estar incluido. En estudio privado, electricidad e internet se pagan aparte.",
,Seguro Médico (KVG),80 - 120,250 - 350,450+,"Austero: Swisscare/ScoreStudies (exención para estudiantes, franquicia alta). Moderado: Seguro suizo estándar con subsidio (si aplica). Confort: Seguro privado con cobertura dental/óptica.",
,Alimentación,350,550,850,"Austero: Cocinar siempre, Lidl/Aldi, carne reducida. Moderado: Almuerzo en Mensa UZH/ETH (7-10 CHF/día). Confort: Restaurantes 2-3 veces/semana.",
,Transporte,65,95,150,Austero: Bicicleta + tickets ocasionales. Moderado: Abono ZVV Zona 110 (~85 CHF) + Tarjeta Media Tarifa. Confort: Abono ZVV todas las zonas (All zones).,
,Material Académico,40,80,150,"Libros, licencias de software, impresión, cuotas de laboratorio.",
,Ropa y Cuidado Personal,50,100,200,"Lavandería, higiene, reposición de ropa básica.",
,Telefonía Móvil,20,45,80,"Austero: Prepago/Solo datos. Moderado: Plan ilimitado nacional (e.g., Galaxus/Wingo). Confort: Roaming incluido.",
,Ocio y Vida Social,100,300,600,"Cine (20 CHF), gimnasio (ASVZ incluido en tasas), viajes de fin de semana, esquí.",
,Impuestos/Tasas (Serafe),30,30,30,Canon obligatorio de Radio/TV (Serafe) prorrateado mensual.,
,Seguros Varios,10,20,40,Responsabilidad Civil (Privathaftpflicht) - Altamente recomendado en Suiza.,
,Imprevistos,100,200,400,"Franquicias médicas, reparaciones, dentista de emergencia.",
,TOTAL MENSUAL,"~1,445 - 1,745","~2,580 - 3,130","~4,500+","Presupuesto Recomendado: 2,300 CHF+",
LONDRES,Categoría de Gasto,Costo Mensual (Estimado),Detalles y Notas,,,
,Alquiler (Zona 2/3),"£900 - £1,300","Habitación en piso compartido o residencia privada (PBSA) lejos del centro. En Zona 1, esto subiría a £1,600+.",,,
,Alimentación (Supermercado),£180 - £250,Comprando en Aldi/Lidl/Tesco y cocinando en casa. Comer fuera regularmente dispararía este costo.,,,
,Transporte (TfL),£110 - £130,Travelcard Zonas 1-2 o 1-3 con descuento de estudiante (18+ Oyster) + Railcard vinculada.,,,
,Servicios (Luz/Gas/Internet),£80 - £120,"Generalmente incluido en residencias, pero extra en pisos privados compartidos.",,,
,Vida Social / Ocio,£150 - £250,"Salidas a pubs, cine, café. Una pinta de cerveza en Londres ronda los £7-£8.",,,
,Materiales / Libros,£30 - £50,"Varía según el curso (muy alto para Arquitectura/Arte en UAL, bajo para Humanidades).",,,
,"Otros (Móvil, Higiene)",£40 - £60,Plan SIM-only (£15) + artículos personales.,,,
,TOTAL MENSUAL,"£1,490 - £2,160","Recomendación: Presupuestar £1,800/mes como base segura.",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BEIJIN,Categoría de Gasto,Subcategoría / Ítem,Perfil Austero (Becario/Dormitorio),Perfil Estándar (Piso Compartido),Perfil Premium (Apartamento Privado),Análisis de Contexto 2027
,Alojamiento,Alquiler Mensual,"1,200 - 2,500 CNY","3,500 - 5,500 CNY","7,500 - 15,000+ CNY",Los dormitorios en campus son escasos y baratos. Vivir en Wudaokou dispara el costo; Changping es la opción económica off-campus.
,,"Servicios (Agua, Luz, Gas)",Incluido o ~100 CNY,200 - 300 CNY,400 - 600 CNY,El costo de calefacción suele estar incluido en el alquiler o subsidiado. El aire acondicionado en verano es el mayor gasto eléctrico.
,,Internet (Fibra/WiFi),Gratuito (Campus),50 - 100 CNY,100 - 150 CNY,La conectividad básica es barata. Planes de alta velocidad para gaming/streaming son accesibles.
,Alimentación,Comedores Universitarios,"900 - 1,200 CNY",600 CNY (Parcial),N/A,Comer en campus es la estrategia de ahorro #1. Platos completos por 10-25 CNY.
,,Restaurantes / Delivery,300 CNY (Ocasional),"1,500 - 2,000 CNY","4,000+ CNY",Una cena social en Sanlitun cuesta 200+ CNY. El delivery (Waimai) diario suma rápidamente.
,,Supermercado / Comestibles,400 CNY,"800 - 1,200 CNY","2,000+ CNY","Frutas importadas, quesos, café y productos occidentales tienen sobreprecios significativos."
,Transporte,Metro y Autobús,100 - 150 CNY,250 - 300 CNY,200 CNY,El transporte público es extremadamente eficiente. Pases mensuales disponibles.
,,Taxi / Didi Chuxing,50 CNY (Emergencia),400 - 600 CNY,"1,500 - 3,000 CNY",Tarifas base ~13-14 CNY. Uso diario de Didi es un lujo que drena el presupuesto.
,Conectividad,Plan Móvil (5G/6G),60 - 80 CNY,100 - 150 CNY,200 - 300 CNY,Planes con datos ilimitados o masivos son la norma. Esencial para la vida digital.
,,VPN (Suscripción),60 - 80 CNY,100 CNY,120 CNY,"Gasto ""invisible"" pero obligatorio. Astrill o servicios premium cuestan ~15-20 USD/mes."
,Salud,Seguro Médico Básico,~70 CNY (Prorrateado),~70 CNY,~70 CNY,El seguro obligatorio cuesta ~800 CNY/año.
,,Seguro/Gastos Médicos Extra,0 - 100 CNY,200 CNY,"1,000+ CNY","Consultas en clínicas internacionales privadas (e.g., United Family) son muy caras sin seguro privado adicional."
,Ocio y Varios,Vida Social / Entretenimiento,300 - 500 CNY,"1,000 - 1,500 CNY","3,000+ CNY","Entradas de cine, KTV, bares, viajes cortos."
,,Material Académico,100 CNY,200 CNY,500 CNY,"Libros, impresiones, software."
,TOTAL MENSUAL,Rango Estimado,"~3,200 - 5,000 CNY","~8,000 - 11,500 CNY","20,000+ CNY",Planificación de flujo de caja es vital.
CAPETOWN ,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
MONTERREY,Concepto de Gasto,Perfil Austero (UANL / Público),Perfil Medio (Tec/UDEM Compartido),Perfil Alto (Tec/UDEM Privado),,
,Vivienda (Renta),"$4,500","$9,500","$22,000",,
,,"(Hab. en casa compartida, San Nicolás)","(Hab. en depa compartido, Distrito Tec/Roma)","(Loft privado en Torre de Lujo, Distrito Tec/Valle)",,
,Alimentación (Supermercado),"$3,200","$5,000","$8,500",,
,,"(Marcas propias, cocina diaria en casa)","(HEB/Walmart, dieta mixta)","(HEB Prime, City Market, productos orgánicos)",,
,Comidas Fuera / Social,"$1,500","$4,000","$9,000",,
,,"(Cafetería UANL, salidas locales económicas)","(Comidas en campus, salidas fin de semana)","(Restaurantes San Pedro, Uber Eats frecuente)",,
,"Servicios (Luz, Agua, Internet)",$900,"$2,200","$4,500",,
,,"(Uso moderado, sin AC intensivo)","(AC compartido, Internet fibra)","(AC central, riesgo tarifa DAC, alta velocidad)",,
,Transporte,"$1,200","$4,000","$7,500",,
,,(Uso intensivo Metro/Bus tarifa estudiante),(Mix Uber/Auto compacto o Circuito Tec),"(Auto propio, gasolina Premium, Uber Black)",,
,Celular y Datos,$350,$700,"$1,500",,
,,(Prepago / Plan básico),(Plan postpago datos medios),"(Plan ilimitado, roaming, equipo gama alta)",,
,Ocio y Entretenimiento,"$1,200","$3,500","$8,000",,
,,"(Cine, reuniones en casa, parques)","(Antros zona Tec, conciertos, bares)","(Covers San Pedro, eventos VIP, viajes cortos)",,
,Artículos Personales / Limpieza,$700,"$1,400","$3,000",,
,Seguro Médico (Prorrateado),$0,"$1,300","$3,500",,
,,(IMSS Estudiante),(Seguro complementario),(Seguro Gastos Médicos Mayores Amplio),,
,TOTAL GASTOS DE VIDA,"$13,550 MXN","$31,600 MXN","$67,500 MXN",,
ISTANBUL ,Rubro de Gasto,"Perfil ""Austeridad Estratégica""","Perfil ""Estándar Confortable""","Perfil ""Premium / Expat""",,
,Alojamiento,$150 - $250 (Dormitorio Público / Hab. Compartida en periferia),$500 - $750 (Residencia Privada / Apto. Compartido en centro),"$1,000 - $1,500 (Apto. Propio 1+1 en Beşiktaş/Kadıköy o Estudio de Lujo)",,
,Alimentación,$180 (Uso intensivo de comedor univ. + cocina en casa),$350 (Comedor univ. + restaurantes ocasionales + supermercado),"$600 (Restaurantes frecuentes, pedidos a domicilio, cafeterías de especialidad)",,
,Transporte,$20 (Abono Estudiantil mensual + uso mínimo de extras),$40 (Abono + Taxis ocasionales / Uber fines de semana),"$150 (Uso frecuente de Taxi/Uber, traslados privados)",,
,"Servicios (Luz, Agua, Gas, Internet)",$0 (Incluido usualmente en residencias),$80 - $100 (Parte proporcional en apto. compartido),"$180 (Facturas completas de apto. propio, internet alta velocidad)",,
,Telefonía Móvil / Datos,$12 (Plan básico estudiantil),$18 (Plan datos generosos),$30 (Plan internacional / Roaming / Datos ilimitados),,
,Materiales y Libros,$20 (Digital / Segunda mano),"$40 (Fotocopias, algunos libros nuevos)","$70 (Libros originales importados, software, suscripciones)",,
,Salud (Seguro Prorrateado),$35 (Costo mensual prorrateado del GSS estatal),$35 (GSS estatal),$120 (Seguro Privado Premium con cobertura amplia),,
,Ocio y Vida Social,"$60 (Eventos gratuitos, museos con tarjeta estudiante, té/café local)","$150 (Cine, salidas de fin de semana, vida nocturna moderada)","$400 (Conciertos, clubes, viajes de fin de semana, cenas de lujo)",,
,Fondo de Imprevistos,$30,$50,$100,,
,TOTAL MENSUAL ESTIMADO,$507 - $607 USD,"$1,263 - $1,533 USD","$2,650 - $3,150 USD",,
TOKYO ,Categoría de Gasto,Costo Estimado (JPY),Detalles y Estrategia,,,
,Alquiler (Vivienda),"¥75,000 – ¥110,000",Apartamento tipo 1K en zona central o 1DK en periferia. Incluye common fee.,,,
,Servicios Básicos,"¥12,000 – ¥18,000","Electricidad, Gas, Agua. Nota: El aire acondicionado en verano/invierno dispara este costo.",,,
,Internet / Móvil,"¥5,000 – ¥8,000",SIM Card (MVNO) + Fibra óptica en casa. El WiFi público en Japón no es suficiente para estudiar.,,,
,Alimentación (Supermercado),"¥35,000 – ¥45,000",Cocinando en casa (Gyomu Super/Hanamasa). Comprar Bento en Konbini diario duplicará esto.,,,
,Comer Fuera / Ocio,"¥20,000 – ¥40,000",1-2 cenas fuera por semana + salidas con el círculo (Saakuru).,,,
,Transporte (Pase Estudiante),"¥5,000 – ¥8,000",Tarifa con descuento de estudiante (Teiki-ken) solo ruta Casa-Universidad.,,,
,Seguro Salud (NHI),"¥1,500 – ¥2,500",Tarifa reducida obligatoria para estudiantes sin ingresos previos en Japón.,,,
,Materiales / Varios,"¥5,000 – ¥10,000","Libros, lavandería, artículos de limpieza.",,,
,TOTAL MENSUAL,"¥158,500 – ¥241,500","($1,050 - $1,600 USD aprox @150 JPY)",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LONDRES,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TORONTO,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"SYDNEY 







",Categoría de Gasto,Costo Semanal (AUD),Costo Mensual (AUD),Notas Estratégicas,,
,Alquiler (Share House),$350 - $550,"$1,516 - $2,383",Habitaciones en zonas medias (Inner West/Randwick). Residencias tipo Scape son más caras ($650+/sem).,,
,Alimentación (Groceries),$180 - $220,$780 - $953,Comprando en Aldi/Coles y cocinando en casa. Comer fuera duplica este monto.,,
